"Libellé";"Taux de chômage au sens du BIT - Ensemble - France métropolitaine - Données CVS";"Codes"
"idBank";"001688526";""
"Dernière mise à jour";"10/02/2026 07:30";""
"Période";"";""
"2016-T4";"9.7";"A"
"2016-T3";"9.6";"A"
"2016-T2";"9.7";"A"
"2016-T1";"9.9";"A"
"2015-T4";"9.9";"A"
"2015-T3";"10.0";"A"
"2015-T2";"10.2";"A"
"2015-T1";"10.0";"A"
