"Libellé";"Taux de chômage au sens du BIT - Ensemble - France métropolitaine - Données CVS";"Codes"
"idBank";"001688526";""
"Dernière mise à jour";"10/02/2026 07:30";""
"Période";"";""
"2021-T4";"7.2";"A"
"2021-T3";"7.7";"A"
"2021-T2";"7.8";"A"
"2021-T1";"8.0";"A"
"2020-T4";"7.9";"A"
"2020-T3";"8.7";"A"
"2020-T2";"7.1";"A"
"2020-T1";"7.7";"A"
